lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,unit_des_x,unit_des_y,unit_des_z,des_dist_xy,des_dist_z
0,0,0,0,0,0,0.936420857906342,-0.350633978843689,0.0130986543372273,27.8477687835693,0.364799618721008
0.033859770745039,0.0202827323228121,0.100877434015274,-1.25896656513214,8.32256126403809,-1.92138314247131,0.937317073345184,-0.323429316282272,0.129730448126793,27.6227779388428,3.61405658721924
0.0412404760718346,0.0151537600904703,0.341979056596756,-1.37917900085449,12.3005714416504,-1.10271167755127,0.893667101860046,-0.30519026517868,0.328964918851852,26.3195362091064,9.1685037612915
0.00362314423546195,0.00985056348145008,0.678028106689453,-0.134484902024269,9.86044025421143,-0.103189066052437,0.80855792760849,-0.302371919155121,0.504782319068909,24.0657901763916,14.0724391937256
-0.027495913207531,0.0368790552020073,1.00299835205078,1.83960783481598,6.94145965576172,0.0387490391731262,0.721890032291412,-0.286865741014481,0.629748106002808,21.6548881530762,17.5555305480957
0.00482946587726474,0.116877347230911,1.12791132926941,4.37541723251343,2.94805335998535,-0.445409178733826,0.671603620052338,-0.232577323913574,0.703460156917572,19.8068733215332,19.6041488647461
0.127514868974686,0.242302864789963,1.25524747371674,5.74026250839233,-0.958147048950195,-0.695432484149933,0.67415314912796,-0.147814840078354,0.723649144172668,19.2222099304199,20.1547145843506
0.351112961769104,0.389746427536011,1.41765868663788,5.61729764938355,-4.56984663009644,-0.741309762001038,0.727313458919525,-0.0587885603308678,0.683782756328583,20.3039588928223,19.0266857147217
0.688320696353912,0.503396689891815,1.69344997406006,3.00323939323425,-7.44729709625244,-0.812170684337616,0.812927484512329,-0.000408084015361965,0.582364618778229,22.5902366638184,16.1831798553467
1.13131392002106,0.518193662166595,2.01083159446716,-0.830916047096252,-9.21397018432617,-1.52886617183685,0.901827275753021,0.0244750399142504,0.431402802467346,25.0269451141357,11.9676132202148
1.42360126972199,0.387294709682465,2.15698862075806,-3.48142766952515,-2.971036195755,-0.566618084907532,0.93723851442337,0.0176500044763088,0.348241657018661,25.9605598449707,9.64423179626465
1.43856430053711,0.236634626984596,2.32542991638184,-2.77456569671631,3.18882942199707,-0.19339020550251,0.925498902797699,0.00192862283438444,0.378745019435883,25.5926513671875,10.4733428955078
1.36920583248138,0.136471033096313,2.40449857711792,-1.56538152694702,3.04730367660522,-0.065292164683342,0.900896370410919,-0.0114598963409662,0.433882832527161,24.8773593902588,11.9802751541138
1.36085915565491,0.0792061984539032,2.52813053131104,-0.826561689376831,1.35023534297943,0.0176481455564499,0.885487973690033,-0.020556416362524,0.464207291603088,24.4168796539307,12.7968320846558
1.47166228294373,0.0547466278076172,2.62942051887512,-0.779271841049194,-1.24329400062561,-0.596026003360748,0.891668796539307,-0.0200467519462109,0.452244132757187,24.5421314239502,12.4443426132202
1.56523847579956,0.053056001663208,2.7402286529541,-0.766386151313782,0.414197385311127,-1.18445158004761,0.892538547515869,-0.00846305303275585,0.450891673564911,24.5145435333252,12.3836755752563
1.63440215587616,0.0815013349056244,2.77038335800171,-0.248773008584976,0.279864877462387,-1.3475524187088,0.890235185623169,0.0113840084522963,0.455358773469925,24.4045448303223,12.4819993972778
1.72325432300568,0.136015340685844,2.78021430969238,0.106856480240822,-0.197037726640701,-1.29004395008087,0.890906929969788,0.0347550697624683,0.452853977680206,24.3899059295654,12.3881301879883
1.82817077636719,0.196797236800194,2.76512598991394,0.2342709004879,-0.443662941455841,-1.02198100090027,0.893897891044617,0.0559767298400402,0.444761753082275,24.4494647979736,12.1411266326904
1.94625926017761,0.251346468925476,2.72075223922729,0.258304119110107,-0.734563410282135,-0.687644064426422,0.899231672286987,0.0719732269644737,0.431511431932449,24.5721740722656,11.7537822723389
2.07458305358887,0.295588076114655,2.65366649627686,0.221454739570618,-0.952179789543152,-0.41315883398056,0.906559765338898,0.0825735256075859,0.413921266794205,24.740140914917,11.249400138855
2.20880651473999,0.328581124544144,2.56090259552002,0.180817678570747,-1.12473523616791,-0.185336112976074,0.915314197540283,0.0884798243641853,0.392900854349136,24.9346771240234,10.6536111831665
